symbol,category,PE_ratio,perc_high,perc_low,close_price,sma200,sma100,sma50,sma20,sma10,bollinger_signal,rsi_signal,stoch_signal,supertrend_signal
TCS,large,16.83,,2.4508552463620275,,,,,,,,,,
RELIANCE,large,19.65,13.38255366670803,,,,,,,,,,,
HDFCBANK,large,15.57,,3.0844155844155843,,,,,,,,,,
ICICIBANK,large,15.81,,2.733650512055487,,,,,,,,,,
INFY,large,17.63,,4.090198337585388,,,,,,,,,,
ITC,large,18.24,,3.9212386401884807,,,,,,,,,,
HCLTECH,large,21.06,,4.222855821838634,,,,,,,,,,
NTPC,large,16.4,4.816223067173637,,,,,,,,,,,
KOTAKBANK,large,19.52,,2.545754781890739,,,,,,,,,,
POWERGRID,large,17.63,7.888198757763969,,,,,,,,,,,
WIPRO,large,15.08,,2.4616368286445036,,,,,,,,,,
IRFC,large,17.66,,3.117048346055993,,,,,,,,,,
GRASIM,large,18.82,12.44377307821416,9.756801319043685,,,,,,,,,,
AMBUJACEM,large,19.27,,2.2355050806933705,,,,,,,,,,
LODHA,large,23.84,,5.401994194118399,,,,,,,,,,
CIPLA,large,21.27,,2.3150396632669503,,,,,,,,,,
DRREDDY,large,19.68,6.631876494890193,,,,,,,,,,,
ZYDUSLIFE,large,17.5,,12.70440251572327,,,,,,,,,,
INDUSTOWER,large,16.08,10.768431983385259,,,,,,,,,,,
OFSS,large,23.45,,7.065522495789558,,,,,,,,,,
LUPIN,large,21.07,4.731662180349932,,,,,,,,,,,
SUZLON,large,17.81,,11.887928777166797,,,,,,,,,,
NHPC,large,21.5,,9.522479754258576,,,,,,,,,,
TORNTPOWER,large,22.74,11.945121951219518,,,,,,,,,,,
AUROPHARMA,large,21.07,4.659796938930142,,,,,,,,,,,
OBEROIRLTY,large,23.61,,5.954854890720165,,,,,,,,,,
IREDA,large,17.36,,7.522084411528515,,,,,,,,,,
MPHASIS,large,21.86,,3.9005171140113184,,,,,,,,,,
SAIL,large,24.11,8.976874145413467,,,,,,,,,,,
FEDERALBNK,large,15.68,11.920529801324504,,,,,,,,,,,
KPITTECH,large,23.25,,8.769403104496732,,,,,,,,,,
UPL,large,22.47,,7.888256771673589,,,,,,,,,,
GUJGASLTD,large,21.07,,3.345349675558767,,,,,,,,,,
NIACL,large,19.22,,3.199381761978351,,,,,,,,,,
GODREJIND,large,16.31,,3.2539292730844793,,,,,,,,,,
IGL,large,16.68,,4.113009198423141,,,,,,,,,,
MRPL,large,15.51,12.51000894917809,,,,,,,,,,,
EMAMILTD,large,21.77,,3.035223582313259,,,,,,,,,,
MANYAVAR,large,23.81,,11.816524908869999,,,,,,,,,,
BRIGADE,large,19.73,,5.188343994314147,,,,,,,,,,
AEGISLOG,large,22.14,,4.943647540983595,,,,,,,,,,
ARE&M,large,20.27,,3.2561217736598307,,,,,,,,,,
KEC,large,19.93,,9.669357939254123,,,,,,,,,,
CASTROLIND,large,19.18,,4.339643529281526,,,,,,,,,,
IRCON,large,20.89,,3.4743079795437954,,,,,,,,,,
KANSAINER,large,22.45,,2.9036144578313214,,,,,,,,,,
FSL,large,21.52,,13.099009900990103,,,,,,,,,,
SHYAMMETL,large,22.92,,7.328859060402687,,,,,,,,,,
APLLTD,large,20.09,,5.360429447852768,,,,,,,,,,
CIEINDIA,large,21.32,13.032319391634983,,,,,,,,,,,
