symbol,category,PE_ratio,perc_high,perc_low,close_price,sma200,sma100,sma50,sma20,sma10,bollinger_signal,rsi_signal,stoch_signal,supertrend_signal
AFCONS,mid,19.49,,4.0147329650092,,,,,,,,,,
JYOTHYLAB,mid,22.15,,2.789231142372059,,,,,,,,,,
IEX,mid,23.33,,3.9337827459680854,,,,,,,,,,
NEWGEN,mid,19.25,,4.936708860759491,,,,,,,,,,
RITES,mid,20.79,,3.796124236793207,,,,,,,,,,
UTIAMC,mid,17.02,,4.341026747195858,,,,,,,,,,
SANOFI,mid,22.56,,2.0109580926995436,,,,,,,,,,
CAPLIPOINT,mid,19.6,,3.0644152595372107,,,,,,,,,,
GALAXYSURF,mid,20.01,,2.3743956918181377,,,,,,,,,,
JKLAKSHMI,mid,15.01,,5.160560438604142,,,,,,,,,,
AURIONPRO,mid,21.78,,3.0032266070985414,,,,,,,,,,
TEXRAIL,mid,23.89,,5.9323006310957975,,,,,,,,,,
FDC,mid,23.35,,3.841500302480335,,,,,,,,,,
TCI,mid,19.89,,2.38376463008698,,,,,,,,,,
SUNTECK,mid,24.07,,3.6677631578947296,,,,,,,,,,
AHLUCONT,mid,18.15,,3.6305466685213554,,,,,,,,,,
PDSL,mid,20.51,,4.134165366614674,,,,,,,,,,
DHANUKA,mid,16.37,,3.804405100642852,,,,,,,,,,
RESPONIND,mid,22.49,,3.7027206370272148,,,,,,,,,,
INDIGOPNTS,mid,23.61,,3.7322073145814856,,,,,,,,,,
NIITMTS,mid,21.24,,5.931905931905945,,,,,,,,,,
VSTIND,mid,15.89,,4.551432597463597,,,,,,,,,,
NFL,mid,22.88,,4.969407551111772,,,,,,,,,,
BBL,mid,19.92,,5.971479500891266,,,,,,,,,,
HEIDELBERG,mid,23.84,,2.846325468190121,,,,,,,,,,
ZAGGLE,mid,22.05,,4.599941526167039,,,,,,,,,,
