symbol,category,PE_ratio,perc_high,perc_low,close_price,sma200,sma100,sma50,sma20,sma10,bollinger_signal,rsi_signal,stoch_signal,supertrend_signal
LAOPALA,small,19.78,,2.98761100756497,,,,,,,,,,
HATHWAY,small,19.27,,4.592901878914399,,,,,,,,,,
NAVNETEDUL,small,21.44,,3.463100071650353,,,,,,,,,,
AJMERA,small,17.4,,3.97172356059901,,,,,,,,,,
NILKAMAL,small,16.62,,2.567287784679089,,,,,,,,,,
KRSNAA,small,23.69,,4.109470776137455,,,,,,,,,,
TTKHLTCARE,small,16.45,,4.881101376720901,,,,,,,,,,
HARIOMPIPE,small,15.06,,4.59903702473851,,,,,,,,,,
SYNCOMF,small,16.07,,4.5335658238884005,,,,,,,,,,
GPTHEALTH,small,24.42,,4.6421987598458125,,,,,,,,,,
RKSWAMY,small,21.49,,2.92336361518752,,,,,,,,,,
NINSYS,small,17.61,,4.678882761074534,,,,,,,,,,
MEGATHERM,small,15.26,,3.130755064456716,,,,,,,,,,
KAMATHOTEL,small,24.04,,4.9751811490842694,,,,,,,,,,
VARDHACRLC,small,19.14,,4.663705583756353,,,,,,,,,,
GOYALSALT,small,18.85,,0.5094951366373295,,,,,,,,,,
SPECTSTM,small,22.91,,4.411764705882345,,,,,,,,,,
INFOLLION,small,20.47,,4.946808510638294,,,,,,,,,,
UNIHEALTH,small,16.2,0.5944100164411339,,,,,,,,,,,
MIEL,small,17.5,,3.802281368821293,,,,,,,,,,
JFLLIFE,small,23.68,,4.516806722689073,,,,,,,,,,
QUADPRO,small,22.05,,2.499999999999991,,,,,,,,,,
