symbol,category,PE_ratio,perc_high,perc_low,close_price,sma200,sma100,sma50,sma20,sma10,bollinger_signal,rsi_signal,stoch_signal,supertrend_signal
TCS,large,25.47,,12.76975180379902,3435.7,3895.7894999999994,3577.1895000000013,3446.2239999999997,3447.9900000000002,3458.88,hold,hold,hold,probability to rise more
BHARTIARTL,large,40.91,3.8481272447408927,,1936.7,1694.0215000000005,1759.6645,1851.5939999999996,1863.4049999999995,1866.3499999999997,sell,sell,sell,probability to rise more
HDFCBANK,large,20.6,3.2409958423082723,,1964.7,1780.3610000000003,1828.6779999999999,1927.3569999999995,1941.8400000000001,1940.95,sell,hold,sell,probability to rise more
RELIANCE,large,24.56,11.231974142217807,,1466.2,1567.8122500000006,1317.042,1397.3310000000006,1431.8349999999998,1438.56,hold,hold,buy,probability to rise more
ITC,large,26.08,,7.5227476611559725,418.55,449.3637499999999,420.0325000000001,425.95500000000015,419.86749999999984,419.0,hold,hold,buy,probability to fall more
LT,large,43.59,8.81796392077709,,3662.0,3509.4600000000028,3402.059999999999,3502.476999999999,3641.920000000001,3629.3,sell,hold,hold,probability to rise more
SBIN,large,8.99,12.558398220244712,,796.15,786.8909999999995,769.5049999999999,796.569,802.4599999999999,798.0249999999999,hold,hold,hold,probability to rise more
HINDUNILVR,large,51.86,,8.286516853932584,2306.2,2440.3120000000017,2316.7900000000004,2354.181,2348.965,2327.43,hold,hold,buy,probability to rise more
BAJFINANCE,large,33.55,9.480997139354306,,905.0,7708.169750000001,8320.838,8133.852,6747.35,4312.65,buy,buy,buy,probability to fall more
NTPC,large,14.95,,14.754098360655732,335.2,356.833,336.4794999999999,343.5400000000001,334.1199999999999,334.19,hold,hold,hold,probability to fall more
HCLTECH,large,27.14,15.0631149985091,,1739.9,1733.6577500000003,1615.789,1616.4069999999995,1677.0900000000001,1712.47,hold,sell,hold,probability to rise more
SUNPHARMA,large,34.78,,14.313094667670606,1665.1,1771.8182499999998,1708.8045000000002,1720.389,1674.485,1669.8799999999999,hold,hold,buy,probability to fall more
AXISBANK,large,13.46,9.36438622028142,,1220.7,1124.1474999999998,1111.9275000000002,1191.7989999999998,1204.91,1219.3600000000001,sell,hold,sell,probability to rise more
M&M,large,31.59,5.522860331096459,,,,,,,,,,,
MARUTI,large,28.21,6.95906432748538,,12791.0,11983.878250000002,12229.184,12344.621000000001,12462.5,12598.8,sell,hold,hold,probability to fall more
KOTAKBANK,large,22.61,7.411268951735519,,2169.8,1929.4657499999998,2059.1209999999987,2126.028,2105.0650000000005,2138.7400000000002,sell,hold,sell,trend change to lower bandprobability to rise more
COALINDIA,large,6.88,,12.1832498210451,389.05,410.37150000000014,386.8534999999998,395.06199999999995,395.0425000000001,392.52000000000004,hold,hold,buy,probability to rise more
TITAN,large,93.64,9.77501939487975,,3519.0,3378.7320000000013,3329.1935000000008,3467.8660000000004,3509.725,3474.4199999999996,sell,hold,hold,probability to rise more
ASIANPAINT,large,57.38,,7.772679138722206,2285.7,2501.0470000000014,2301.6545,2330.0099999999993,2258.9800000000005,2248.74,hold,hold,buy,probability to fall more
