sector,total_flagged,buy_signals,strong_buy,sell_signals,avg_score,trend_changes,symbols
Industrials,135,85,2,6,0.218,5,"HAL, BEL, INDIGO, MAZDOCK, ABB, CUMMINSIND, CGPOWER, HAVELLS, SRF, POWERINDIA, SUZLON, GVT&D, RVNL, JSWINFRA, BDL, COCHINSHIP, CONCOR, ESCORTS, ASTRAL, THERMAX, BLUESTARCO, GODREJIND, APARINDS, DELHIVERY, HONAUT, AIAENG, NBCC, IRB, INOXWIND, PTCIL, TIMKEN, JYOTICNC, KEC, JSWHL, ARE&M, GRINDWELL, SKFINDIA, TRITURBINE, CARBORUNIV, LMW, IRCON, AFCONS, KIRLOSBROS, SWANCORP, BLS, BLUEDART, JWL, CYIENT, GRAVITA, NCC, SKFINDUS, ACE, RITES, TITAGARH, RKFORGE, SHAKTIPUMP, RHIM, LATENTVIEW, TCI, POWERMECH, LOTUSDEV, CERA, DBL, AJAXENGG, PNCINFRA, LLOYDSENGG, ATLANTAELE, WELENT, CMSINFO, AHLUCONT, IONEXCHANG, MANINFRA, TEXRAIL, SKIPPER, KNRCON, UNIMECH, GMMPFAUDLR, ASHOKA, SIS, PDSL, HCC, JKIL, GREAVESCOT, AWFIS, KIRLOSIND, RAYMOND, HARSHA, MSTCLTD, PSPPROJECT, GATEWAY, PATELENG, BFUTILITIE, EPACKPEB, JAYKAY, VIKRAN, TCIEXP, MBEL, KSHINTL, TIL, NAVKARCORP, RAJOOENG, UDS, AWHCL, EKC, ROTO, ALLDIGI, YUKEN, VASCONEQ, WALCHANNAG, STERTOOLS, KOKUYOCMLN, INDOFARM, ELIN, RITCO, LINC, HARDWYN, GLOTTIS, HILINFRA, MANAKSIA, GLOBECIVIL, TRF, AFFORDABLE, PRITIKAUTO, MURUDCERA, CORDSCABLE, VETO, PLAZACABLE, IL&FSTRANS, CEREBRAINT, TPHQ, MANUGRAPH, AROGRANITE, MADHUCON, GANGAFORGE, AKG"
Consumer Cyclical,108,75,0,4,0.244,0,"MARUTI, TITAN, BAJAJ-AUTO, TMPV, TRENT, TVSMOTOR, BOSCHLTD, INDHOTEL, SWIGGY, VMM, SCHAEFFLER, BHARATFORG, IRCTC, KALYANKJIL, PAGEIND, BALKRISIND, ITCHOTELS, VOLTAS, JUBLFOOD, KPRMILL, EXIDEIND, METROBRAND, APOLLOTYRE, SONACOMS, TVSHLTD, ZFCVINDIA, EIHOTEL, ATHERENERG, SUNDRMFAST, OLAELEC, CHALET, VENTIVE, MANYAVAR, ABLBL, WHIRLPOOL, BATAINDIA, LEMONTREE, VTL, RELAXO, TIMETECHNO, SAPPHIRE, ALOKINDS, TTKPRESTIG, PCJEWELLER, CAMPUS, GARFIBRES, SFL, MHRIL, SYMPHONY, IFBIND, VMART, JUNIPER, RAJESHEXPO, SHOPERSTOP, AGI, EMIL, ITDC, SWARAJENG, BOSCH-HCIL, RBA, BOROLTD, UFLEX, VAIBHAVGBL, DPABHUSHAN, SSWL, PARKHOTELS, KDDL, TCPLPACK, LAOPALA, HINDWAREAP, TAJGVK, KALAMANDIR, NILKAMAL, EIHAHOTELS, DELTACORP, STUDDS, HUHTAMAKI, STANLEY, IGARASHI, RUPA, MONTECARLO, ASAL, MUFTI, KAMATHOTEL, GLOSTERLTD, CHEVIOT, SPECIALITY, TPLPLASTEH, ADVANIHOTR, SREEL, NAHARINDUS, SPENCERS, VIPCLOTHNG, SUNDRMBRAK, OSIAHYPER, UCAL, ZODIACLOTH, SHIVATEX, MHLXMIRU, EMMBI, BSL, ISFT, INDIANCARD, NAGREEKEXP, ATLASCYCLE, SHEKHAWATI, MOHITIND, SGL"
Basic Materials,109,72,1,4,0.228,6,"ULTRACEMCO, JSWSTEEL, ASIANPAINT, TATASTEEL, GRASIM, VEDL, PIDILITIND, AMBUJACEM, SHREECEM, JINDALSTEL, COROMANDEL, NMDC, BERGEPAINT, UPL, PIIND, SAIL, LINDEINDIA, JKCEMENT, DALBHARAT, FLUOROCHEM, ACC, SUMICHEM, NAVINFLUOR, RAMCOCEM, SHYAMMETL, DEEPAKNTR, TATACHEM, CHAMBLFERT, BASF, KANSAINER, DEEPAKFERT, VINATIORGA, CENTURYPLY, NUVOCO, PCBL, JAINREC, CLEAN, JKLAKSHMI, ALKYLAMINE, SUDARSCHEM, JAIBALAJI, RCF, GALAXYSURF, GSFC, GNFC, EPIGRAL, DHANUKA, SURYAROSNI, GULFOILLUB, GHCL, INDIGOPNTS, NFL, STYRENIX, ORIENTCEM, BHARATRAS, ROSSARI, GREENPANEL, KIRIINDUS, SAGCEM, EUROPRATIK, ORISSAMINE, VEEDOL, SPIC, VIDHIING, ASTEC, SANSTAR, ANDHRAPAP, EXCELINDUS, HARIOMPIPE, DECCANCE, AMNPLST, PDMJEPAPER, FAIRCHEMOR, INDOAMIN, SRHHYPOLTD, NCLIND, SAURASHCEM, BESTAGRO, CHEMCON, SATIA, KAMDHENU, 20MICRONS, SHIVALIK, ACL, MMP, IGCL, KRONOX, EMAMIPAP, ORIENTPPR, VINYLINDIA, GSLSU, CHEMBONDCH, RUBFILA, GOACARBON, SHIVAUM, AARTISURF, KANORICHEM, NATHBIOGEN, VMSTMT, DIAMINESQ, NAGAFERT, STARPAPER, AKSHARCHEM, ARCHIDPLY, HINDCON, SHYAMCENT, KAKATCEM, ALKALI, ANKITMETAL"
Financial Services,84,55,1,1,0.236,1,"HDFCBANK, ICICIBANK, SBIN, BAJFINANCE, LICI, KOTAKBANK, AXISBANK, BAJAJFINSV, JIOFIN, SBILIFE, HDFCLIFE, IRFC, BAJAJHLDNG, TATACAP, CHOLAFIN, ICICIAMC, PFC, IDBI, BSE, INDIANB, RECLTD, ICICIGI, BAJAJHFL, ICICIPRULI, POLICYBZR, SBICARD, IOB, GICRE, YESBANK, HDBFS, FEDERALBNK, SUNDARMFIN, HUDCO, IREDA, UCOBANK, TATAINVEST, CRISIL, CHOLAHLDNG, PIRAMALFIN, CENTRALBK, CDSL, GODIGIT, LICHSGFIN, NIACL, BANDHANBNK, ANANDRATHI, PNBHOUSING, ABSLAMC, ANGELONE, AADHARHFC, PSB, UTIAMC, APTUS, NIVABUPA, IEX, AAVAS, ICRA, UTKARSHBNK, PFS, SUMMITSEC, PNBGILTS, MASTERTR, ESAFSFB, DOLATALGO, CIFL, CAPITALSFB, VHL, DVL, 5PAISA, DHANBANK, GICHSGFIN, BLAL, DHUNINV, NBIFIN, SILINV, DIGISPICE, NAHARCAP, STARTECK, INVENTURE, STEELCITY, GATECH, HBSL, 21STCENMGM, INFOMEDIA"
Healthcare,70,37,0,4,0.148,1,"SUNPHARMA, DIVISLAB, CIPLA, TORNTPHARM, MAXHEALTH, APOLLOHOSP, DRREDDY, MANKIND, ZYDUSLIFE, LUPIN, LENSKART, AUROPHARMA, ALKEM, GLENMARK, BIOCON, LAURUSLABS, GLAXO, ANTHEM, NH, IPCALAB, MEDANTA, ASTERDM, AJANTPHARM, COHANCE, IKS, JBCHEPHARM, SYNGENE, EMCURE, LALPATHLAB, PPLPHARMA, WOCKPHARMA, ASTRAZEN, SAGILITY, POLYMED, APLLTD, CAPLIPOINT, RAINBOW, INDGN, BLUEJET, SANOFI, SANOFICONR, RUBICON, PGHL, JLHL, MARKSANS, CORONA, FDC, SUPRIYA, FISCHER, SPARC, RPGLIFE, UNICHEMLAB, HIKAL, VIMTALABS, INDOCO, KRSNAA, SHALBY, AMRUTANJAN, LAXMIDENTL, TTKHLTCARE, TARSONS, GPTHEALTH, FABTECH, MEDICAMEQ, ALBERTDAVD, NECLIFE, LYKALABS, NATCAPSUQ, VIVIMEDLAB, BIOFILCHEM"
Technology,51,36,0,2,0.253,0,"TCS, INFY, HCLTECH, WIPRO, LGEINDIA, DIXON, PERSISTENT, OFSS, COFORGE, MPHASIS, HEXT, LTTS, KAYNES, TATAELXSI, KPITTECH, ITI, TATATECH, PINELABS, FSL, URBANCO, CAMS, ZENSARTECH, NEWGEN, SONATSOFTW, MAPMYINDIA, BORORENEW, MASTEK, AURIONPRO, SWSOLAR, STYL, CAPILLARY, RSYSTEMS, ZAGGLE, PACEDIGITK, MCLOUD, PROTEAN, RPSGVENT, ACCELYA, MOBIKWIK, NELCO, QUICKHEAL, EXPLEOSOL, IKIO, IVALUE, MICEL, XCHANGING, ADSL, SUBEXLTD, BIRLACABLE, BPL, COMPINFO"
Consumer Defensive,46,25,2,1,0.221,3,"HINDUNILVR, ITC, DMART, NESTLEIND, VBL, BRITANNIA, GODREJCP, TATACONSUM, UNITDSPR, MARICO, DABUR, PATANJALI, COLPAL, GODFRYPHLP, UBL, PGHH, AWL, GILLETTE, EMAMILTD, HATSUN, BBTC, CCL, JYOTHYLAB, BECTORFOOD, DODLA, PICCADIL, CRIZAC, VSTIND, GOPAL, SUNDROP, SDBL, ADFFOODS, TASTYBITE, SULA, NIITLTD, DCMSRIND, CLSEL, BCLIND, MUKKA, APTECHT, VIKASLIFE, KOHINOOR, PRUDMOULI, NGIL, KEEPLEARN, SHANTI"
Communication Services,27,19,0,2,0.226,0,"BHARTIARTL, INDUSTOWER, NAUKRI, TATACOMM, AFFLE, SUNTV, RAILTEL, TTML, ZEEL, NAZARA, NETWORK18, TIPSMUSIC, PFOCUS, JUSTDIAL, ROUTE, NAVNETEDUL, BCG, MTNL, HATHWAY, DEN, JAGRAN, STLNETWORK, DISHTV, ZEEMEDIA, RADIOCITY, GTL, SITINET"
Real Estate,24,16,0,0,0.248,0,"DLF, LODHA, PRESTIGE, GODREJPROP, OBEROIRLTY, PHOENIXLTD, BRIGADE, ABREL, SIGNATURE, EMBDL, DBREALTY, WEWORK, MAXESTATES, GANESHHOU, SUNTECK, SMARTWORKS, EFCIL, ALEMBICLTD, SCILAL, ARIHANTSUP, SHRIRAMPPS, SURAJEST, PTL, NILAINFRA"
Utilities,22,10,1,1,0.143,0,"NTPC, POWERGRID, ADANIGREEN, TATAPOWER, GAIL, ADANIENSOL, JSWENERGY, NHPC, ATGL, TORNTPOWER, SJVN, NLCINDIA, GUJGASLTD, IGL, CESC, RPOWER, GSPL, MGL, RELINFRA, GIPCL, IRMENERGY, GVKPIL"
