,company,cap,closing_price,sma,sma100,sma50,sma20,sma10,ema%,sma%,PE_ratio,ball,rsi,stoch,super_trend
12,IDEA,large_cap,10.36,14.68,15.09,14.35,12.19,10.74,-38.223302165071054,-41.659266409266436,0.0,buy,buy,buy,probability to fall more
9,FUSION,mid_cap,246.55,467.21,392.93,326.94,289.54,268.62,-52.383895424000556,-89.49827621172184,7.13,buy,buy,buy,probability to fall more
6,SPANDANA,mid_cap,585.2,825.17,687.58,619.28,601.1,595.0,-17.026539881357365,-41.007091592617876,9.55,buy,buy,buy,probability to fall more
7,EASEMYTRIP,mid_cap,34.02,43.4,41.2,40.08,39.84,38.19,-20.4510596965262,-27.56246325690766,33.66,buy,buy,buy,probability to fall more
1,EQUITASBNK,mid_cap,77.21,95.3,88.88,81.99,82.04,80.93,-12.99696778586839,-23.428441911669477,13.88,buy,buy,buy,trend change to upper band...probability to fall more
2,UJJIVANSFB,mid_cap,40.43,49.78,45.55,43.0,42.31,41.72,-12.014462670424336,-23.126762305219,6.21,buy,buy,buy,probability to fall more
0,RBLBANK,mid_cap,204.28,247.98,235.97,219.17,211.61,209.48,-12.81579723953942,-21.393112394752304,9.61,buy,buy,buy,probability to fall more
8,UTKARSHBNK,mid_cap,44.98,52.45,50.21,48.48,47.25,46.3,-10.527499963392314,-16.61149399733214,9.39,buy,buy,buy,probability to fall more
3,ANURAS,mid_cap,736.95,845.97,772.04,773.19,754.94,742.56,-6.669663552043353,-14.793981952642593,63.54,buy,buy,buy,probability to fall more
11,GATEWAY,mid_cap,91.33,104.48,102.35,100.31,95.54,93.32,-10.543087850791574,-14.39401073031866,19.13,buy,buy,buy,probability to fall more
14,SHANKARA,small_cap,526.05,680.55,644.96,601.96,561.88,545.43,-19.46714840868178,-29.369546621043657,15.97,buy,buy,buy,probability to fall more
5,ESAFSFB,small_cap,45.18,57.93,51.66,50.0,48.79,47.75,-15.961368967814355,-28.20949535192557,4.76,buy,buy,buy,probability to fall more
4,HINDWAREAP,small_cap,323.85,410.25,396.25,381.99,344.95,332.35,-19.890204275958645,-26.679095260151364,68.1,buy,buy,buy,probability to fall more
10,TNPL,small_cap,210.15,263.94,249.03,230.8,216.32,212.7,-15.505692240047944,-25.595051153937654,14.34,buy,buy,buy,probability to fall more
16,PROZONER,small_cap,25.97,32.59,30.37,29.74,27.92,26.91,-16.295488815184687,-25.50635348479012,0.0,buy,buy,buy,probability to fall more
13,NDTV,small_cap,187.34,231.59,214.85,202.82,193.72,191.73,-12.395756119318174,-23.621944058930353,0.0,buy,buy,buy,probability to fall more
15,HPAL,small_cap,91.56,102.1,98.35,97.99,96.09,93.96,-12.35965085302908,-11.5079183049366,39.13,buy,buy,buy,probability to fall more
17,BANSWRAS,small_cap,140.52,152.17,152.1,150.88,145.45,143.22,-7.193456992786623,-8.29099060631942,19.17,buy,buy,buy,probability to fall more
