,company,cap,closing_price,sma,sma100,sma50,sma20,sma10,ema%,sma%,PE_ratio,ball,rsi,stoch,super_trend
44,IDEA,large_cap,8.4,14.25,14.35,12.36,9.47,9.0,-54.64388029752049,-69.5863095238095,0.0,buy,buy,buy,probability to fall more
109,CREDITACC,large_cap,1000.1,1372.24,1264.25,1177.77,1112.93,1046.34,-24.461651799984967,-37.210753924607545,10.82,buy,buy,buy,probability to fall more
112,AARTIIND,large_cap,488.45,653.46,638.92,578.65,543.14,522.72,-25.12544033477339,-33.7814515303511,38.26,buy,buy,buy,probability to fall more
115,KIOCL,large_cap,333.9,425.64,419.6,391.06,370.82,363.88,-21.00543175032536,-27.47461814914649,0.0,buy,buy,buy,probability to fall more
71,BANKINDIA,large_cap,99.9,126.88,116.75,111.85,106.58,104.34,-15.921303763427494,-27.012012012011983,7.16,buy,buy,buy,probability to fall more
42,UNIONBANK,large_cap,109.24,137.57,128.74,120.05,116.34,112.35,-15.317930981504555,-25.935920908092243,6.06,buy,buy,buy,probability to fall more
77,UCOBANK,large_cap,43.76,52.77,51.87,48.58,46.22,45.27,-14.426555041025505,-20.585123400365656,25.42,buy,buy,buy,probability to fall more
55,YESBANK,large_cap,20.04,24.14,23.65,22.83,21.57,21.02,-15.25693269529252,-20.439371257484986,45.3,buy,buy,buy,probability to fall more
101,POONAWALLA,large_cap,363.3,435.55,396.69,388.61,385.32,377.89,-10.00655321986426,-19.88790255986786,24.02,buy,buy,buy,trend change to upper band...probability to fall more
70,CONCOR,large_cap,844.4,972.4,986.07,926.73,885.15,874.26,-12.464264710977139,-15.158485315016593,41.44,buy,buy,buy,probability to fall more
39,TATACONSUM,large_cap,998.25,1148.12,1160.74,1169.3,1124.4,1085.88,-15.16721089898548,-15.012872526921997,67.8,buy,buy,buy,probability to fall more
35,INDUSINDBK,large_cap,1274.35,1462.56,1422.85,1400.86,1372.05,1340.62,-11.178117181927545,-14.769117589359235,11.29,buy,buy,buy,probability to fall more
49,IDFCFIRSTB,large_cap,68.32,78.12,75.4,73.02,72.39,71.72,-9.666915273488408,-14.345286885245912,18.05,buy,buy,buy,probability to fall more
74,ASTRAL,large_cap,1790.15,2041.45,2078.81,1920.12,1912.08,1873.88,-11.88008365153779,-14.03794374773061,91.04,buy,buy,buy,probability to fall more
93,BANDHANBNK,large_cap,173.8,198.07,199.29,197.84,193.01,191.61,-13.953280025100618,-13.96539125431537,11.58,buy,buy,buy,trend change to upper band...probability to fall more
27,DMART,large_cap,4005.2,4550.66,4895.4,4897.19,4541.18,4187.19,-19.132011918882082,-13.618857984619916,96.24,buy,buy,buy,probability to fall more
110,CYIENT,large_cap,1704.45,1929.54,1878.18,1939.19,1864.96,1832.87,-11.26573175816213,-13.205887529701684,27.51,buy,buy,buy,probability to fall more
102,GLAND,large_cap,1647.6,1856.51,1877.38,1817.48,1718.9,1665.07,-11.184066522920107,-12.679791818402558,38.22,buy,buy,buy,probability to fall more
105,DELHIVERY,large_cap,378.85,424.39,405.93,417.73,411.34,402.26,-9.022555749837565,-12.02012669922133,0.0,buy,buy,buy,probability to fall more
92,ACC,large_cap,2246.35,2497.7,2481.97,2382.12,2365.52,2290.72,-8.143761814731036,-11.189218064860782,22.05,buy,buy,buy,probability to fall more
81,AWL,large_cap,314.75,348.69,347.49,352.52,335.87,330.17,-10.241335602458017,-10.783002382843566,72.05,buy,buy,buy,probability to fall more
106,MSUMI,large_cap,63.15,69.3,70.91,68.9,66.8,64.43,-9.509364062648466,-9.7433887569279,42.34,buy,buy,buy,probability to fall more
104,ZFCVINDIA,large_cap,14102.35,15353.09,15873.73,15686.85,15235.44,14722.96,-10.421351366747261,-8.868988147365481,65.29,buy,buy,buy,probability to fall more
1,RELIANCE,large_cap,2686.7,2923.5,2957.55,2903.68,2799.41,2719.7,-7.916063950343114,-8.81365615811213,24.01,buy,buy,buy,probability to fall more
113,RELAXO,large_cap,766.6,829.17,819.98,806.72,795.36,787.56,-6.58884504581807,-8.161753195930062,102.43,buy,buy,buy,probability to fall more
29,NESTLEIND,large_cap,2350.25,2527.8,2538.99,2543.47,2541.27,2428.54,-29.510490061381667,-7.554558025741939,71.46,buy,buy,buy,probability to fall more
