,company,cap,closing_price,sma,sma100,sma50,sma20,sma10,ema%,sma%,PE_ratio,ball,rsi,stoch,super_trend
29,SHAREINDIA,mid_cap,229.48,577.57,292.14,284.4,258.77,241.87,-51.22899262835022,-151.68596391842425,12.36,hold,buy,buy,probability to fall more
5,SWSOLAR,mid_cap,312.05,606.1,508.37,435.17,370.9,326.82,-55.78811520639192,-94.23217433103665,233.68,buy,buy,buy,probability to fall more
2,CHENNPETRO,mid_cap,515.9,826.4,685.73,591.61,561.56,535.92,-30.14196686857309,-60.18613103314593,25.35,buy,buy,buy,probability to fall more
23,ALLCARGO,mid_cap,39.91,60.08,53.98,48.45,42.8,41.62,-31.405589773251506,-50.53420195439743,65.93,buy,buy,buy,probability to fall more
1,RAJESHEXPO,mid_cap,184.0,270.09,243.38,220.58,200.04,189.28,-28.993214985368077,-46.78638586956513,143.14,buy,buy,buy,probability to fall more
33,CYIENTDLM,mid_cap,481.05,684.37,642.44,621.49,544.53,496.54,-31.792502246332973,-42.26665627273662,65.55,buy,buy,buy,probability to fall more
10,SPARC,mid_cap,155.47,213.89,202.01,193.88,170.8,162.24,-27.468182706766992,-37.576027529426966,0.0,buy,buy,buy,probability to fall more
21,INOXINDIA,mid_cap,906.9,1194.88,1108.54,1072.83,982.14,928.75,-21.012432623051776,-31.754410629617407,42.71,buy,buy,buy,probability to fall more
11,PRSMJOHNSN,mid_cap,131.82,172.03,180.16,166.32,143.94,136.89,-28.21039965609222,-30.507055075102468,0.0,buy,buy,buy,probability to fall more
15,TVSSCS,mid_cap,140.04,181.47,178.86,168.3,153.08,144.42,-23.428972531690754,-29.584618680376945,108.51,buy,buy,buy,probability to fall more
0,GRINFRA,mid_cap,1211.25,1567.58,1527.63,1441.02,1287.62,1258.74,-21.384903875930288,-29.41818369453046,13.35,buy,buy,buy,probability to fall more
8,JKTYRE,mid_cap,310.75,400.33,384.22,371.13,340.57,321.18,-21.83551385202758,-28.82606596942882,11.27,buy,buy,buy,probability to fall more
7,ROUTE,mid_cap,1181.2,1512.45,1439.11,1352.97,1256.39,1209.73,-19.13176562604964,-28.043599729089152,20.91,buy,buy,buy,probability to fall more
4,CANFINHOME,mid_cap,648.3,809.12,797.27,735.41,674.76,666.22,-18.13305861032051,-24.80699521826328,10.57,buy,buy,buy,probability to fall more
18,KTKBANK,mid_cap,174.75,217.39,212.19,204.17,188.82,186.06,-18.957792975341178,-24.397997138769643,5.33,buy,buy,buy,probability to fall more
12,ESABINDIA,mid_cap,4920.5,5939.36,5911.12,5657.28,5111.09,4977.41,-16.454659629435543,-20.70646783863434,45.32,buy,buy,buy,probability to fall more
